idx,mu0,mu1,fom_time_s,rom_time_s,podnn_time_s,rom_rel_l2_u,podnn_rel_l2_u,rom_rel_l2_p,podnn_rel_l2_p,rom_rel_h1_u,podnn_rel_h1_u,pinn_time_s,pinn_rel_l2_u,pinn_rel_l2_p,pinn_rel_h1_u
0,7.762164880704037,1.8777568795041046,0.11192011833190918,0.008853912353515625,0.002056121826171875,0.004934224289339186,0.08219509516071015,0.0051561784943724995,0.022499923132042497,0.009169347733344532,0.10039397281781115,0.01213693618774414,0.3609765180443983,0.9231590263958557,0.4182335815758279
1,8.600119407122687,2.3947360581187276,0.0863800048828125,0.005207061767578125,0.00040984153747558594,0.0052778491767807535,0.07039382457550426,0.002243284425274801,0.013350844801755288,0.005992158852403801,0.09207103401435635,0.008701086044311523,0.5760550383573307,0.9790590157261161,0.6816976688641746
2,1.0323557440877305,2.951244703273512,0.13267016410827637,0.007930994033813477,0.0002810955047607422,0.012195690799409775,0.030652179802805733,0.005710600985214032,0.03800667445894972,0.012545870910007492,0.02207444982963627,0.006065845489501953,0.49236047761443574,1.093542553399016,0.5810187285556238
3,7.635283049704495,2.5721286105539076,0.08434581756591797,0.005230903625488281,0.00026702880859375,0.016542836140790523,0.09436540516387472,0.00232321890901733,0.012886486086476731,0.014191586393857569,0.12437365722186706,0.00633692741394043,0.5531205928686229,0.8902145130482773,0.6910350071087427
4,1.3683249634879042,1.9007718757911343,0.0850071907043457,0.005479097366333008,0.0002608299255371094,0.0037867525793984324,0.016137918783569377,0.0022039409787465237,0.014508721699458778,0.007313864430093472,0.02305655965106757,0.005787849426269531,0.2617091658571495,1.0986032476895826,0.36684030829316483
5,3.7709004399025545,2.8535299776972036,0.16335797309875488,0.006632804870605469,0.00031828880310058594,0.022478731955994983,0.03953104180916287,0.0033989867247524235,0.008126031340482428,0.023427037581747547,0.04044920845650015,0.004998207092285156,0.49334624267087807,1.1006482125936001,0.6043774887757735
6,6.474264688798579,2.64552322654166,0.08531403541564941,0.005321979522705078,0.00026488304138183594,0.0245331059426864,0.04490887978632082,0.0027090996044244896,0.008424921692429943,0.019489698538960865,0.049144580846320784,0.004890918731689453,0.5447355842323661,0.8489712132001825,0.6725155814651487
7,4.489800568390578,1.4544774435695538,0.08813214302062988,0.005220174789428711,0.00024700164794921875,0.008099211618085652,0.016267021296513577,0.008005932792728229,0.017063439718872697,0.015161938195596402,0.03184684683767174,0.008037090301513672,0.23432951708756267,0.8714799624755486,0.3193710705392286
8,5.590389391456765,1.1276345122083506,0.08526396751403809,0.005125284194946289,0.00023889541625976562,0.004121734140531741,0.033330811899356036,0.01070476348684094,0.0557211472527849,0.009253534930922524,0.05879177361611593,0.00817108154296875,0.22943073546514214,0.930060912096311,0.433011307792619
9,8.293548602726563,2.26332879824413,0.08421683311462402,0.005222797393798828,0.00023984909057617188,0.012618131280023604,0.07336106741171879,0.012216618070309925,0.012635579766397774,0.015326524876597544,0.09963358304189877,0.007271766662597656,0.4769758464252216,1.0446499482176137,0.5485864826749456
10,7.605068626845201,1.7090519362597367,0.08844518661499023,0.005093812942504883,0.00024318695068359375,0.008654205816790671,0.037077652478571636,0.005324528256538928,0.020775081747083975,0.010303791167303143,0.05383675249180992,0.004992008209228516,0.3140826526289841,0.8908689902370479,0.4074764182198019
11,9.709910441509543,2.7862422426443954,0.08889508247375488,0.006302833557128906,0.00023865699768066406,0.017496616846398746,0.13944428342268927,0.004454645833818695,0.019343689766941907,0.016581725544789955,0.17831303113436062,0.006432056427001953,0.8612451870953652,0.9193416338091872,0.8602972810029998
12,7.805996621030243,1.3892774157039351,0.09471988677978516,0.005066871643066406,0.0002460479736328125,0.005685322808278009,0.045828758656190745,0.007851898325381966,0.02410891017908677,0.011116350974759262,0.060159998936211656,0.006979942321777344,0.30275975829274354,0.9059273877560319,0.39388837821405775
13,4.720537936897639,1.0876075315744576,0.07053899765014648,0.005137205123901367,0.0004329681396484375,0.0038941850631793676,0.045905629210686756,0.007075592250018486,0.03716794328407159,0.011021831905593433,0.07958798087520415,0.0058879852294921875,0.25608900291306913,0.924177603132743,0.4739074608780607
14,1.6274659714687236,2.3660979064849093,0.0887899398803711,0.005509138107299805,0.0002779960632324219,0.006116993513228809,0.02762317656274186,0.00500556163450125,0.007231049852592828,0.008361271180320613,0.03150432601722286,0.00436091423034668,0.37887518916705815,2.2766685486985176,0.5039359807396869
15,7.47314534348739,2.93501946486842,0.08127593994140625,0.005320310592651367,0.00025177001953125,0.02189605033113281,0.13028461818646897,0.007729100900037645,0.03235794918910527,0.02104386856170023,0.09799032637080524,0.005655050277709961,0.8154290417063866,1.0630012978927705,0.8479424079684427
16,3.3256710455677045,1.7409194120697378,0.08974695205688477,0.005336761474609375,0.00023794174194335938,0.011138868237787303,0.016187752929011676,0.0037674329439287015,0.010853178425412443,0.013259092806730112,0.03042757160511229,0.006124019622802734,0.24266429867628445,0.8649688873845548,0.36566864409863714
17,4.748602531630499,1.3789427181685714,0.08939814567565918,0.0053937435150146484,0.00023603439331054688,0.006762955369036557,0.0309421631212973,0.007752864625730089,0.017113410066926394,0.011866917471688502,0.03916250070353509,0.006003856658935547,0.24834930944300096,0.8965184908857233,0.35571210210337606
18,1.3862229028211692,1.9514098524518675,0.12300610542297363,0.005550861358642578,0.00023508071899414062,0.004027266513037812,0.014635205389012742,0.008773970394479594,0.03528323229234871,0.00767860660669258,0.022443803853768384,0.007614850997924805,0.25514377332310495,1.3992003035810734,0.3382060848237623
19,2.3464025556037527,2.3396279893650207,0.08415818214416504,0.005477190017700195,0.0002510547637939453,0.007359773102277064,0.026136868267485142,0.0020930853459572496,0.0031936375126089965,0.012077494692954686,0.029078965941520728,0.005635738372802734,0.3709757684066215,1.5588202698126798,0.4875779085581161
20,4.427803996836074,2.665356392115675,0.0851430892944336,0.005527973175048828,0.00023484230041503906,0.021745334881531502,0.03484075317823523,0.0025580823895151373,0.004552271463318244,0.017667536026342055,0.03763934644283473,0.004972934722900391,0.447945910652607,0.8723871965046662,0.5907331777685232
