stage,activation,fourier,data,mean_relL2u,mean_e_u_H1,mean_e_p_L2,mean_e_tot,note
1_physics_only,sigmoid,no,none,2.259,,,,"residual can't be reduced; unconstrained velocity"
2_data_only,sigmoid,no,400,0.976,,,,"plain sigmoid net can't fit the field (spectral bias/vanishing grad)"
3_hybrid,sigmoid,no,400,0.905,,,,"same bottleneck; net is the limit"
4_hybrid_tanh,tanh,no,400,0.348,0.525,0.371,0.347,"tanh unlocks fitting; balanced relative pressure"
5_option1,tanh,yes,1500,,,,,"Fourier + wider + all data (this run)"
