idx,mu0,mu1,fom_time_s,pinn_time_s,pinn_rel_l2_u,pinn_rel_l2_p,pinn_rel_h1_u
0,7.762164880704037,1.8777568795041046,0.11192011833190918,0.016665935516357422,1.0116122293030918,0.9958571131661137,1.0206562687346319
1,8.600119407122687,2.3947360581187276,0.0863800048828125,0.0173490047454834,1.0110565205765616,0.9987070645460439,1.0142691324593054
2,1.0323557440877305,2.951244703273512,0.13267016410827637,0.016180992126464844,0.999521861821218,0.9993877783518476,0.9999612114378916
3,7.635283049704495,2.5721286105539076,0.08434581756591797,0.017078876495361328,1.000027229917388,0.9944562210089529,1.0050598687899008
4,1.3683249634879042,1.9007718757911343,0.0850071907043457,0.01740407943725586,1.0012500246401865,0.9953289533497509,1.00233886890859
5,3.7709004399025545,2.8535299776972036,0.16335797309875488,0.01595592498779297,0.9976605882894699,0.9969509031722298,0.9995256169681851
6,6.474264688798579,2.64552322654166,0.08531403541564941,0.015508890151977539,0.9971938475744032,0.9960179762074514,1.001456817911312
7,4.489800568390578,1.4544774435695538,0.08813214302062988,0.015863895416259766,0.9949635609966276,1.00652940257464,0.9999231634433965
8,5.590389391456765,1.1276345122083506,0.08526396751403809,0.015876054763793945,1.002655119878584,1.0075596104739915,1.027108252430285
9,8.293548602726563,2.26332879824413,0.08421683311462402,0.016498088836669922,1.0101962466736638,1.0052717580571726,1.011914817952621
10,7.605068626845201,1.7090519362597367,0.08844518661499023,0.01677227020263672,1.0045495974652914,0.9953590756496563,1.0209433742635252
11,9.709910441509543,2.7862422426443954,0.08889508247375488,0.0155029296875,1.0027088545458842,0.9965544602777414,1.00694844416708
12,7.805996621030243,1.3892774157039351,0.09471988677978516,0.01640915870666504,0.9954462027207643,1.0082425525503933,1.0092556828280796
13,4.720537936897639,1.0876075315744576,0.07053899765014648,0.015684127807617188,1.0026841122247347,1.0075559188271894,1.0273420116471124
14,1.6274659714687236,2.3660979064849093,0.0887899398803711,0.015946626663208008,0.9999449286197724,1.0000689216665737,1.0005000496755252
15,7.47314534348739,2.93501946486842,0.08127593994140625,0.016665935516357422,1.0039846986163397,0.9996590030823324,1.0065099784852012
16,3.3256710455677045,1.7409194120697378,0.08974695205688477,0.01624894142150879,1.000747737111454,0.9943050966826247,1.0055970344899996
17,4.748602531630499,1.3789427181685714,0.08939814567565918,0.017085790634155273,0.9949502654075827,1.007417938208667,0.9995549478710628
18,1.3862229028211692,1.9514098524518675,0.12300610542297363,0.016620159149169922,1.0013290994745208,0.9943292300438974,1.0023496910780378
19,2.3464025556037527,2.3396279893650207,0.08415818214416504,0.018857955932617188,1.0002328595370809,1.0014134365450365,1.0010070285540495
20,4.427803996836074,2.665356392115675,0.0851430892944336,0.01672506332397461,0.9963892657291004,0.9962695352776866,0.9990859606945091
21,7.032624509822266,1.6247332827640821,0.24398589134216309,0.015561103820800781,0.9992937567182473,0.9997157458950823,1.014466783314938
22,8.339372033812491,2.609528714993604,0.08992791175842285,0.016756057739257812,0.9999313545405148,0.9953130312812581,1.0053440078118376
23,3.9360359523987274,1.5766562078604882,0.08634090423583984,0.0163271427154541,0.9968991694152178,1.0022032184495273,1.0024732988695968
24,6.856705489352257,1.2795049672186196,0.0887911319732666,0.017410755157470703,0.9980561183218195,1.0076279784075666,1.0111158495719506
25,2.0790912045035723,1.014724539502011,0.07291483879089355,0.01672983169555664,1.0005689165389728,1.007227742746324,1.0118455094746786
26,7.89055133727117,2.3297017131840643,0.08788609504699707,0.016943931579589844,1.0097384142898758,1.0019425401950681,1.0123633525760674
27,7.081137248400718,2.561458062043936,0.10250997543334961,0.01645827293395996,0.9996920040274647,0.9942313610160012,1.0044073070815536
28,4.643266177829566,2.1374823919057873,0.08869409561157227,0.016596078872680664,1.0039060395234338,1.0017627382291714,1.0052037188109906
29,1.4839902814638088,1.2290601470719469,0.21916890144348145,0.015857219696044922,0.9985570151659839,1.0057757525516329,0.9985524775677882
30,6.7171893217256695,1.942192412286265,0.07998180389404297,0.017100095748901367,1.0094317619497841,0.9952606374232964,1.0159414077267306
31,5.69583745416377,2.529997714832051,0.08414793014526367,0.016438961029052734,0.9994253914336282,0.9937959549734502,1.0032074960062565
32,6.383711368005849,2.1071588013159914,0.07128500938415527,0.01628589630126953,1.0074093040995455,0.9997621406709153,1.0100942557620016
